REFUOID	U_WGS84X	U_WGS84Y	JAHR	MONAT	WOCHENTAG	U_GEMNR2	U_GEMNAME	U_GEBIET	U_GEBIET_T	U_LICHT	U_LICHT_T	U_UNF_TYP	U_UNF_TYP_T	UHRZEIT	BETEILIGUNG
6097709952	16,44356668	48,2338816	2013	1	Sun	92201	Wien	1	Ortsgebiet			511	Rechtwinkelige Kollisionen - Kollision auf der Kreuzung	0 bis 6 Uhr	Lkw, Pkw
6097724124	16,35555536	48,1757932	2013	1	Wed	91001	Wien	1	Ortsgebiet			823	beim Linksabbiegen - Fg.: gleiche Ann‰herungsrichtung	6 bis 9 Uhr	Fussgaenger:in, Pkw
6097724234	16,42132044	48,29856906	2013	1	Mon	92101	Wien	1	Ortsgebiet	2	Tageslicht	823	beim Linksabbiegen - Fg.: gleiche Ann‰herungsrichtung	6 bis 9 Uhr	Fussgaenger:in, Pkw
6097724244	16,32257491	48,14517713	2013	1	Thu	92301	Wien	1	Ortsgebiet			122	Wechseln des Fahrstreifens mit und ohne Kollision - nach rechts mit Abkommen rechts	18 bis 24 Uhr	Motorfahrrad, Pkw
6097724305	16,35523081	48,13179744	2013	1	Tue	92301	Wien	1	Ortsgebiet	2	Tageslicht	511	Rechtwinkelige Kollisionen - Kollision auf der Kreuzung	12 bis 15 Uhr	Pkw, Pkw
6097724312	16,29817218	48,13848325	2013	1	Wed	92301	Wien	1	Ortsgebiet			991	Sonstige Unf‰lle mit zwei oder mehreren Beteiligten	15 bis 18 Uhr	(Elektro-)Fahrrad, Pkw
6097724586	16,33781523	48,20164482	2013	1	Sat	90701	Wien	1	Ortsgebiet	3	D‰mmerung	812	Fahrzeug biegt nicht ab - nach Querstraﬂe, Fuﬂg‰nger von rechts	18 bis 24 Uhr	Fussgaenger:in, Pkw
6097724604	16,31423324	48,20830186	2013	1	Tue	91601	Wien	1	Ortsgebiet	2	Tageslicht	511	Rechtwinkelige Kollisionen - Kollision auf der Kreuzung	12 bis 15 Uhr	Pkw, Pkw
6097688067	16,35523081	48,17545157	2013	1	Sat	91001	Wien	1	Ortsgebiet			141	Auffahren auf verkehrsb. stehendes fahrzeug - auf der Geraden	15 bis 18 Uhr	Pkw, Pkw
6097686704	16,33308113	48,22341822	2013	1	Tue	91701	Wien	1	Ortsgebiet	2	Tageslicht	511	Rechtwinkelige Kollisionen - Kollision auf der Kreuzung	15 bis 18 Uhr	Pkw, Pkw
6097688119	16,33344859	48,18119814	2013	1	Tue	91201	Wien	1	Ortsgebiet	2	Tageslicht	172	Kollision beim R¸ckw‰rtsfahren	15 bis 18 Uhr	Pkw, Pkw
